"period","value","country","var"
2008-01-01,103.195795636282,"FR","world_demand"
2008-04-01,102.342300131434,"FR","world_demand"
2008-07-01,101.480787119261,"FR","world_demand"
2008-10-01,96.6923829367933,"FR","world_demand"
2009-01-01,89.4466959116837,"FR","world_demand"
2009-04-01,87.6426843433092,"FR","world_demand"
2009-07-01,90.7947575689486,"FR","world_demand"
2009-10-01,92.4301225733883,"FR","world_demand"
2010-01-01,95.4677537723257,"FR","world_demand"
2010-04-01,100.002321339276,"FR","world_demand"
2010-07-01,101.186754237642,"FR","world_demand"
2010-10-01,103.343170650756,"FR","world_demand"
2011-01-01,104.71422534263,"FR","world_demand"
2011-04-01,104.879900771049,"FR","world_demand"
2011-07-01,105.692791526982,"FR","world_demand"
2011-10-01,104.767924895777,"FR","world_demand"
2012-01-01,104.894009304599,"FR","world_demand"
2012-04-01,104.764221421003,"FR","world_demand"
2012-07-01,105.209669073508,"FR","world_demand"
2012-10-01,104.160219328792,"FR","world_demand"
2013-01-01,105.042993003837,"FR","world_demand"
2013-04-01,107.269428183531,"FR","world_demand"
2013-07-01,108.307058183709,"FR","world_demand"
2013-10-01,109.210078502608,"FR","world_demand"
2014-01-01,109.782660380836,"FR","world_demand"
2014-04-01,110.6080982493,"FR","world_demand"
2014-07-01,111.901979213934,"FR","world_demand"
2014-10-01,113.29691575513,"FR","world_demand"
2015-01-01,115.163774574446,"FR","world_demand"
2015-04-01,116.614668221631,"FR","world_demand"
2015-07-01,116.292777318495,"FR","world_demand"
2015-10-01,117.793958834612,"FR","world_demand"
2016-01-01,118.578401695215,"FR","world_demand"
2016-04-01,119.94428373769,"FR","world_demand"
2016-07-01,121.196995035231,"FR","world_demand"
2016-10-01,123.257436685223,"FR","world_demand"
2017-01-01,124.847250803344,"FR","world_demand"
2017-04-01,126.624478452721,"FR","world_demand"
2017-07-01,127.978098377235,"FR","world_demand"
2017-10-01,130.107422840764,"FR","world_demand"
2018-01-01,130.216797602249,"FR","world_demand"
2018-04-01,130.887507386462,"FR","world_demand"
2018-07-01,131.588159091888,"FR","world_demand"
2018-10-01,132.34746737984,"FR","world_demand"
2019-01-01,132.522037672149,"FR","world_demand"
2019-04-01,132.152376037348,"FR","world_demand"
2019-07-01,132.814520068253,"FR","world_demand"
2019-10-01,131.39400411485,"FR","world_demand"
2020-01-01,127.342395567599,"FR","world_demand"
2020-04-01,107.914709319269,"FR","world_demand"
2020-07-01,121.468593617549,"FR","world_demand"
2020-10-01,126.595891357614,"FR","world_demand"
2021-01-01,126.898666659264,"FR","world_demand"
